Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-February-2023,1125.95,1125.95,1107.05,1110.00,1112.928838215057990957,40696,1999,45291752.00,19161,47.08,18.90,-15.95
16-February-2023,1140.00,1152.00,1124.15,1127.30,1139.167121768515321762,95583,6536,108885011.00,45442,47.54,27.85,-12.70
15-February-2023,1134.95,1134.95,1120.00,1133.05,1126.588924287856071964,21344,2265,24045914.00,10604,49.68,14.95,-1.90
14-February-2023,1116.05,1142.40,1116.05,1124.20,1133.374324690033978490,99769,5127,113075623.00,47515,47.62,26.35,8.15
13-February-2023,1117.05,1120.65,1105.00,1113.30,1111.421288766754528629,17831,1141,19817753.00,6147,34.47,15.65,-3.75
10-February-2023,1131.00,1131.05,1108.55,1114.35,1116.021710261814549043,82081,2787,91604178.00,44668,54.42,22.50,-16.65
9-February-2023,1137.05,1151.70,1137.05,1146.30,1147.105124443348090830,77023,4371,88353478.00,38029,49.37,14.65,9.25
8-February-2023,1128.10,1149.10,1128.10,1145.00,1144.097758675397351948,34667,1877,39662437.00,14334,41.35,21.00,16.90
7-February-2023,1146.50,1153.00,1126.00,1128.10,1138.062460237795654079,70733,3925,80498572.00,40005,56.56,27.00,-18.40
6-February-2023,1135.00,1149.20,1128.10,1146.35,1139.472119625632014917,27887,1992,31776459.00,13275,47.60,21.10,11.35
3-February-2023,1155.00,1156.80,1138.90,1145.80,1146.115974793003080227,35387,1793,40557606.00,17715,50.06,17.90,-9.20
2-February-2023,1130.05,1155.55,1130.05,1147.65,1146.760341846235700984,60144,3731,68970754.00,34683,57.67,25.50,17.60
1-February-2023,1135.25,1135.25,1114.30,1131.80,1128.463257277734067663,69905,5898,78885224.00,46368,66.33,20.95,-3.45
31-January-2023,1135.00,1136.40,1113.00,1123.05,1121.341164076497773813,130043,8971,145822569.00,86953,66.86,23.40,-11.95
30-January-2023,1110.05,1139.90,1106.40,1134.75,1125.090727135725722897,42468,3134,47780353.00,19875,46.80,33.50,24.70
27-January-2023,1115.50,1140.75,1105.00,1115.40,1132.043239224640468050,1320884,10522,1495297802.00,1259399,95.35,35.75,-0.10
25-January-2023,1137.00,1137.00,1117.00,1123.05,1121.390486024043071022,67795,2754,76024668.00,46101,68.00,20.00,-13.95
24-January-2023,1123.20,1143.45,1122.00,1137.65,1134.922823709782878272,133059,3180,151011696.00,102555,77.07,21.45,14.45
23-January-2023,1109.05,1122.30,1107.80,1121.15,1114.533240242490293576,29362,1937,32724925.00,15977,54.41,14.50,12.10
20-January-2023,1116.20,1121.25,1107.00,1107.75,1116.369878014617872513,78534,2236,87672992.00,53279,67.84,14.25,-8.45
19-January-2023,1100.25,1113.05,1100.00,1111.35,1108.809415012613641772,42018,1794,46589954.00,9867,23.48,13.05,11.10
18-January-2023,1111.00,1125.80,1111.00,1114.05,1119.160668150723884113,61543,2655,68876505.00,19948,32.41,14.80,3.05
17-January-2023,1095.00,1114.00,1095.00,1111.00,1108.825422391963136701,120445,7528,133552478.00,64972,53.94,19.00,16.00
16-January-2023,1079.05,1100.00,1078.85,1093.90,1092.720984013658233742,128860,8373,140808026.00,72685,56.41,21.15,14.85
13-January-2023,1059.65,1083.50,1042.00,1077.95,1067.604757821752862218,324224,16766,346143085.00,74110,22.86,41.50,18.30
12-January-2023,1061.00,1074.40,1061.00,1071.90,1069.274273832776762648,95226,6703,101822712.00,36609,38.44,13.40,10.90
11-January-2023,1066.25,1079.70,1050.60,1054.80,1068.171948403535313321,75354,5936,80491029.00,24631,32.69,29.10,-11.45
10-January-2023,1069.90,1074.00,1056.10,1065.05,1063.323834446442332391,62288,4461,66232315.00,29196,46.87,17.90,-4.85
9-January-2023,1042.15,1070.80,1040.05,1067.60,1060.701946300369340581,120485,7730,127798674.00,66725,55.38,30.75,25.45
6-January-2023,1037.50,1047.90,1025.00,1032.80,1036.341061154911570424,23465,2699,24317743.00,12768,54.41,22.90,-4.70
5-January-2023,1036.55,1049.60,1033.85,1043.80,1043.138477887680863238,24466,1694,25521426.00,9361,38.26,15.75,7.25
4-January-2023,1039.95,1042.20,1031.40,1036.10,1036.540723083035359555,12585,1337,13044865.00,4052,32.20,10.80,-3.85
