Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,4245.35,4252.75,4198.45,4243.50,4229.520621181262729124,3928,1181,16613557.00,1664,42.36,54.30,-1.85
22-March-2023,4255.65,4272.10,4231.50,4245.35,4255.141127883793790942,7022,1468,29879601.00,5663,80.65,40.60,-10.30
21-March-2023,4332.05,4385.60,4260.00,4264.10,4300.530922774869109947,6112,1272,26284845.00,2580,42.21,125.60,-67.95
20-March-2023,4355.05,4362.55,4263.65,4328.55,4298.922004254313401087,4231,1181,18188739.00,1692,39.99,98.90,-26.50
17-March-2023,4301.65,4368.00,4301.65,4362.05,4346.999264273101824602,6796,1657,29542207.00,2757,40.57,66.35,60.40
16-March-2023,4245.05,4320.00,4245.05,4313.05,4289.941041698487857033,6547,2140,28086244.00,2826,43.16,74.95,68.00
15-March-2023,4305.00,4318.45,4238.45,4244.20,4263.959563994374120956,2844,1053,12126701.00,955,33.58,80.00,-60.80
14-March-2023,4320.00,4342.90,4277.70,4290.90,4313.901241328952172325,5478,967,23631551.00,1363,24.88,65.20,-29.10
13-March-2023,4300.65,4346.50,4290.15,4302.75,4308.541419978212475725,21113,2468,90966235.00,18924,89.63,56.35,2.10
10-March-2023,4280.05,4360.00,4280.05,4309.25,4319.226311336717428087,14184,1860,61263906.00,3075,21.68,79.95,29.20
9-March-2023,4363.95,4363.95,4277.65,4292.30,4320.350539652745190051,4262,1356,18413334.00,1845,43.29,86.30,-71.65
8-March-2023,4318.00,4369.90,4313.55,4340.65,4341.814781433077963046,4438,1458,19268974.00,1087,24.49,56.35,22.65
6-March-2023,4372.25,4388.50,4281.00,4318.85,4320.536698499317871759,14660,3619,63339068.00,4758,32.46,107.50,-53.40
3-March-2023,4390.05,4443.00,4383.55,4414.35,4402.707629164654756156,4142,1043,18236015.00,2459,59.37,59.45,24.30
2-March-2023,4413.95,4413.95,4346.25,4392.00,4380.881777588773123538,4703,1391,20603287.00,1885,40.08,67.70,-21.95
1-March-2023,4445.00,4451.40,4355.55,4380.20,4382.363594959769242447,6587,1897,28866629.00,1636,24.84,95.85,-64.80
28-February-2023,4377.15,4472.35,4377.15,4461.75,4429.785986653956148713,2098,776,9293691.00,598,28.50,95.20,84.60
27-February-2023,4441.15,4467.15,4376.60,4387.95,4407.013303769401330376,4059,902,17888067.00,1260,31.04,90.55,-53.20
24-February-2023,4451.55,4494.60,4420.45,4441.20,4444.858754165598564470,7802,1448,34678788.00,5739,73.56,74.15,-10.35
23-February-2023,4482.60,4498.20,4430.00,4452.95,4452.943152454780361757,3483,803,15509601.00,1663,47.75,68.20,-29.65
