Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-September-2022,141.00,142.35,128.90,139.30,136.692688316679477325,20816,926,2845395.00,,,13.45,-1.70
23-September-2022,144.75,144.75,139.10,141.60,141.586125642113200433,21219,648,3004316.00,11266,53.09,5.65,-3.15
22-September-2022,135.25,144.40,135.25,143.20,140.943737769080234833,20440,836,2880890.00,9057,44.31,9.15,7.95
21-September-2022,139.05,144.50,135.35,139.20,139.012293106218865498,24892,1097,3460294.00,14293,57.42,9.15,0.15
20-September-2022,142.00,148.75,141.00,141.45,143.874946410315602018,60646,2470,8725440.00,27746,45.75,7.75,-0.55
19-September-2022,150.75,156.20,140.35,143.30,148.067356281781171289,63127,1796,9347048.00,29360,46.51,15.85,-7.45
16-September-2022,159.00,160.40,144.00,145.00,151.412983236613522547,80473,1976,12184657.00,48061,59.72,16.40,-14.00
15-September-2022,148.00,158.70,148.00,158.05,155.612143493121176436,34817,801,5417948.00,23139,66.46,10.70,10.05
14-September-2022,150.95,153.80,146.30,148.45,150.537070339901791977,78405,1618,11802859.00,21150,26.98,7.50,-2.50
13-September-2022,147.00,154.95,145.40,154.00,151.061416745406083853,141818,3023,21423228.00,44931,31.68,9.55,7.00
12-September-2022,133.65,146.50,133.65,144.35,141.605352775521028460,237559,3344,33639626.00,120120,50.56,12.85,10.70
9-September-2022,137.95,138.75,133.60,135.90,135.903930313007960655,71979,1439,9782229.00,,,5.15,-2.05
8-September-2022,134.10,138.35,132.55,136.45,135.015828643771359155,136651,1956,18450048.00,71535,52.35,5.80,2.35
7-September-2022,125.05,135.00,123.25,132.90,129.440968050181178273,105697,1667,13681522.00,54943,51.98,11.75,7.85
6-September-2022,129.85,130.85,123.40,125.05,126.241017484792464911,96827,1754,12223539.00,57346,59.23,7.45,-4.80
5-September-2022,125.05,129.40,124.00,128.20,126.995704555216919961,48889,833,6208693.00,14848,30.37,5.40,3.15
2-September-2022,122.05,126.10,120.60,125.05,123.708625378222069018,156654,2487,19379451.00,,,5.50,3.00
1-September-2022,113.35,124.00,112.25,122.00,117.861291844124134678,144166,2169,16991591.00,37556,26.05,11.75,8.65
