Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-September-2022,105.40,108.45,103.60,104.00,105.158569109461966604,34496,1040,3627550.00,13479,39.07,4.85,-1.40
21-September-2022,108.30,108.30,101.50,104.75,104.358205961407309343,49854,1817,5202674.00,21801,43.73,6.80,-3.55
20-September-2022,107.50,112.50,103.65,105.50,107.650942122880898391,74088,1985,7975643.00,31779,42.89,8.85,-2.00
19-September-2022,110.80,113.45,107.30,107.30,110.103858011475550226,93416,2653,10285462.00,48622,52.05,6.15,-3.50
16-September-2022,115.20,115.65,112.90,112.90,113.360916913983434950,80531,1617,9129068.00,58107,72.15,2.75,-2.30
15-September-2022,128.00,129.00,118.80,118.80,120.706097252330072515,90877,2161,10969408.00,62997,69.32,10.20,-9.20
14-September-2022,118.85,129.90,116.30,125.05,125.481486883655802623,137119,3812,17205896.00,51059,37.24,13.60,6.20
13-September-2022,110.00,120.05,110.00,120.05,116.309439126872047003,114714,2487,13342321.00,63933,55.73,10.05,10.05
12-September-2022,110.30,114.70,108.05,109.15,110.950995624609340119,111990,3001,12425402.00,63561,56.76,6.65,-1.15
9-September-2022,113.00,119.35,105.50,108.40,115.201875884523952677,540545,7952,62271798.00,,,13.85,-4.60
8-September-2022,105.00,108.50,105.00,108.50,108.016072794586895790,236611,2062,25557791.00,153856,65.02,3.50,3.50
7-September-2022,101.40,102.50,97.40,98.65,100.597395471929513143,61969,1694,6233920.00,35344,57.03,5.10,-2.75
6-September-2022,98.00,103.75,97.95,100.35,100.978330668211178403,79421,1964,8019800.00,30612,38.54,5.80,2.35
5-September-2022,92.00,99.40,90.55,96.95,97.722474515677085849,248388,3400,24273090.00,145877,58.73,8.85,4.95
2-September-2022,93.90,93.90,90.10,90.40,91.108757666524033661,14022,501,1277527.00,,,3.80,-3.50
1-September-2022,90.00,94.00,88.55,90.90,91.569424858984689766,79424,2382,7272810.00,36207,45.59,5.45,0.90
