Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-October-2022,560.00,578.40,560.00,574.15,573.528683940189476087,43805,3200,25123424.00,29163,66.57,18.40,14.15
21-October-2022,558.10,565.15,543.35,546.35,553.109516655442159249,19303,1234,10676673.00,8581,44.45,21.80,-11.75
20-October-2022,560.00,567.20,553.55,555.60,560.077771312996980023,36093,2497,20214887.00,14167,39.25,13.65,-4.40
19-October-2022,559.00,564.00,556.90,561.10,560.179580600761071977,12351,1127,6918778.00,2872,23.25,7.10,2.10
18-October-2022,554.25,562.25,554.25,556.60,558.302672217000134282,29788,2451,16630720.00,13280,44.58,8.00,2.35
17-October-2022,560.00,564.80,550.00,552.85,557.366299617969723589,48949,3814,27282523.00,17775,36.31,14.80,-7.15
14-October-2022,565.05,569.30,560.10,561.75,565.034796273431361544,8909,638,5033895.00,3874,43.48,9.20,-3.30
13-October-2022,568.00,571.45,559.00,561.20,562.766578804234132463,23901,2351,13450684.00,10895,45.58,12.45,-6.80
12-October-2022,572.05,575.00,563.00,567.80,567.270302029408962428,31487,2271,17861640.00,15003,47.65,12.00,-4.25
11-October-2022,584.45,586.00,567.90,571.50,577.089778187323109326,15193,1284,8767725.00,6466,42.56,18.10,-12.95
10-October-2022,580.00,589.00,578.10,584.45,583.261536026172070812,37903,2386,22107362.00,23273,61.40,10.90,4.45
7-October-2022,594.75,596.85,580.20,583.75,585.920792840842072873,38999,2439,22850325.00,13017,33.38,16.65,-11.00
6-October-2022,586.25,595.45,585.70,589.10,591.292241679229966369,17246,1289,10197426.00,5838,33.85,9.75,2.85
4-October-2022,582.05,593.00,580.50,584.30,586.085421412300683371,16682,796,9777077.00,6277,37.63,12.50,2.25
3-October-2022,578.70,592.15,571.05,580.80,585.437640134529147982,21408,1245,12533049.00,8688,40.58,21.10,2.10
30-September-2022,575.10,585.00,573.60,581.50,579.443096306100938794,40797,2619,23639540.00,19592,48.02,11.40,6.40
29-September-2022,591.45,597.20,578.75,583.35,586.197088994312113459,40261,2750,23600881.00,17857,44.35,18.45,-8.10
28-September-2022,595.65,596.65,576.45,580.50,588.992227695675971538,18270,945,10760888.00,6038,33.05,20.20,-15.15
27-September-2022,597.40,607.15,593.05,599.65,600.093543787512020426,30157,1581,18097021.00,7912,26.24,14.10,2.25
26-September-2022,600.00,600.10,568.55,592.75,588.386228039855126914,66541,3420,39151808.00,25297,38.02,31.55,-7.25
23-September-2022,612.00,624.50,596.45,603.55,614.792881469703055278,181751,7498,111739221.00,88811,48.86,28.05,-8.45
22-September-2022,588.00,616.40,586.00,609.75,607.579509011155899863,123791,5190,75212875.00,40489,32.71,30.40,21.75
21-September-2022,564.00,592.00,564.00,580.20,582.491653726708074534,144256,6774,84027916.00,52977,36.72,28.00,16.20
20-September-2022,566.70,574.70,565.25,566.55,569.699180364986641307,44166,2674,25161334.00,19767,44.76,9.45,-0.15
19-September-2022,569.55,576.15,560.30,563.30,571.150196420079207445,500458,1363,285836685.00,483062,96.52,15.85,-6.25
16-September-2022,570.00,577.45,558.65,569.55,569.119540514854758067,48402,2718,27546524.00,23073,47.67,18.80,-0.45
15-September-2022,576.65,582.50,564.50,565.55,570.093822440928870633,49178,3782,28036074.00,31310,63.67,18.00,-11.10
14-September-2022,576.00,581.95,575.00,576.60,577.568307042040908747,26498,1587,15304405.00,14657,55.31,6.95,0.60
13-September-2022,588.00,591.95,581.45,587.35,586.076616800030925045,51738,2515,30322432.00,31697,61.26,10.50,-0.65
12-September-2022,580.45,592.65,580.45,582.80,586.391833098225554978,67345,3945,39490558.00,42661,63.35,12.20,2.35
9-September-2022,573.30,583.70,573.30,581.15,579.473026746587417518,19853,1275,11504278.00,8128,40.94,10.40,7.85
8-September-2022,573.70,580.05,565.20,573.25,573.783350297646587088,32421,1737,18602630.00,12997,40.09,14.85,-0.45
7-September-2022,567.50,575.55,564.55,570.00,570.737272059723412067,32684,2274,18653977.00,13262,40.58,11.00,2.50
6-September-2022,561.05,573.80,561.05,568.30,567.073311674136093382,77873,3902,44159700.00,40095,51.49,12.75,7.25
5-September-2022,568.00,572.00,557.55,559.05,563.584406745481586045,39671,2536,22357957.00,21066,53.10,14.45,-8.95
2-September-2022,558.00,570.75,557.75,561.85,564.945024910047052311,57808,3562,32658342.00,28135,48.67,13.00,3.85
1-September-2022,568.00,571.20,554.70,557.75,560.291568218270872497,57983,4372,32487386.00,32293,55.69,16.50,-10.25
